f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0400m jV0400f jV0600m jV0600f jV0200m jV0200f jV0800m jV0800f
1.0000e+000 2.80636e+004 179.969 0.00000e+000 0.000 6.66674e-001 -0.010 0.00000e+000 0.000 2.53905e-001 -179.970 1.00000e+000 0.000 2.90568e+002 -0.031 0.00000e+000 0.000 7.05316e-009 -90.031 9.57407e-015 -89.984 2.80636e+000 179.969 3.50796e+000 -0.031
1.0235e+000 2.80636e+004 179.969 0.00000e+000 0.000 6.66674e-001 -0.010 0.00000e+000 0.000 2.53905e-001 -179.969 1.00000e+000 0.000 2.90568e+002 -0.031 0.00000e+000 0.000 7.21913e-009 -90.031 9.79936e-015 -89.984 2.80636e+000 179.969 3.50796e+000 -0.031
1.0476e+000 2.80636e+004 179.968 0.00000e+000 0.000 6.66674e-001 -0.011 0.00000e+000 0.000 2.53905e-001 -179.969 1.00000e+000 0.000 2.90568e+002 -0.032 0.00000e+000 0.000 7.38900e-009 -90.032 1.00299e-014 -89.984 2.80636e+000 179.968 3.50796e+000 -0.032
1.0723e+000 2.80636e+004 179.967 0.00000e+000 0.000 6.66674e-001 -0.011 0.00000e+000 0.000 2.53905e-001 -179.968 1.00000e+000 0.000 2.90568e+002 -0.033 0.00000e+000 0.000 7.56287e-009 -90.033 1.02660e-014 -89.983 2.80636e+000 179.967 3.50796e+000 -0.033
1.0975e+000 2.80636e+004 179.966 0.00000e+000 0.000 6.66674e-001 -0.011 0.00000e+000 0.000 2.53905e-001 -179.967 1.00000e+000 0.000 2.90568e+002 -0.034 0.00000e+000 0.000 7.74084e-009 -90.034 1.05075e-014 -89.983 2.80636e+000 179.966 3.50796e+000 -0.034
1.1233e+000 2.80636e+004 179.966 0.00000e+000 0.000 6.66674e-001 -0.011 0.00000e+000 0.000 2.53905e-001 -179.966 1.00000e+000 0.000 2.90568e+002 -0.034 0.00000e+000 0.000 7.92299e-009 -90.034 1.07548e-014 -89.982 2.80636e+000 179.966 3.50796e+000 -0.034
1.1498e+000 2.80636e+004 179.965 0.00000e+000 0.000 6.66674e-001 -0.012 0.00000e+000 0.000 2.53905e-001 -179.965 1.00000e+000 0.000 2.90568e+002 -0.035 0.00000e+000 0.000 8.10942e-009 -90.035 1.10079e-014 -89.982 2.80636e+000 179.965 3.50796e+000 -0.035
1.1768e+000 2.80636e+004 179.964 0.00000e+000 0.000 6.66674e-001 -0.012 0.00000e+000 0.000 2.53905e-001 -179.965 1.00000e+000 0.000 2.90568e+002 -0.036 0.00000e+000 0.000 8.30025e-009 -90.036 1.12669e-014 -89.982 2.80636e+000 179.964 3.50796e+000 -0.036
1.2045e+000 2.80636e+004 179.963 0.00000e+000 0.000 6.66674e-001 -0.012 0.00000e+000 0.000 2.53905e-001 -179.964 1.00000e+000 0.000 2.90568e+002 -0.037 0.00000e+000 0.000 8.49556e-009 -90.037 1.15320e-014 -89.981 2.80636e+000 179.963 3.50796e+000 -0.037
1.2328e+000 2.80636e+004 179.962 0.00000e+000 0.000 6.66674e-001 -0.013 0.00000e+000 0.000 2.53905e-001 -179.963 1.00000e+000 0.000 2.90568e+002 -0.038 0.00000e+000 0.000 8.69547e-009 -90.038 1.18034e-014 -89.981 2.80636e+000 179.962 3.50796e+000 -0.038
1.2619e+000 2.80636e+004 179.961 0.00000e+000 0.000 6.66674e-001 -0.013 0.00000e+000 0.000 2.53905e-001 -179.962 1.00000e+000 0.000 2.90568e+002 -0.039 0.00000e+000 0.000 8.90008e-009 -90.039 1.20811e-014 -89.980 2.80636e+000 179.961 3.50796e+000 -0.039
1.2915e+000 2.80636e+004 179.960 0.00000e+000 0.000 6.66674e-001 -0.013 0.00000e+000 0.000 2.53905e-001 -179.961 1.00000e+000 0.000 2.90568e+002 -0.040 0.00000e+000 0.000 9.10951e-009 -90.040 1.23654e-014 -89.980 2.80636e+000 179.960 3.50796e+000 -0.040
1.3219e+000 2.80636e+004 179.959 0.00000e+000 0.000 6.66674e-001 -0.013 0.00000e+000 0.000 2.53905e-001 -179.960 1.00000e+000 0.000 2.90568e+002 -0.041 0.00000e+000 0.000 9.32386e-009 -90.041 1.26564e-014 -89.979 2.80636e+000 179.959 3.50796e+000 -0.041
1.3530e+000 2.80636e+004 179.959 0.00000e+000 0.000 6.66674e-001 -0.014 0.00000e+000 0.000 2.53905e-001 -179.959 1.00000e+000 0.000 2.90568e+002 -0.041 0.00000e+000 0.000 9.54326e-009 -90.041 1.29542e-014 -89.979 2.80636e+000 179.959 3.50796e+000 -0.041
1.3849e+000 2.80636e+004 179.958 0.00000e+000 0.000 6.66674e-001 -0.014 0.00000e+000 0.000 2.53905e-001 -179.958 1.00000e+000 0.000 2.90568e+002 -0.042 0.00000e+000 0.000 9.76783e-009 -90.042 1.32590e-014 -89.978 2.80636e+000 179.958 3.50796e+000 -0.042
1.4175e+000 2.80636e+004 179.957 0.00000e+000 0.000 6.66674e-001 -0.014 0.00000e+000 0.000 2.53905e-001 -179.957 1.00000e+000 0.000 2.90568e+002 -0.043 0.00000e+000 0.000 9.99767e-009 -90.043 1.35710e-014 -89.978 2.80636e+000 179.957 3.50796e+000 -0.043
1.4508e+000 2.80636e+004 179.956 0.00000e+000 0.000 6.66674e-001 -0.015 0.00000e+000 0.000 2.53905e-001 -179.956 1.00000e+000 0.000 2.90568e+002 -0.044 0.00000e+000 0.000 1.02329e-008 -90.044 1.38903e-014 -89.977 2.80636e+000 179.956 3.50796e+000 -0.044
1.4850e+000 2.80636e+004 179.955 0.00000e+000 0.000 6.66674e-001 -0.015 0.00000e+000 0.000 2.53905e-001 -179.955 1.00000e+000 0.000 2.90568e+002 -0.045 0.00000e+000 0.000 1.04737e-008 -90.045 1.42172e-014 -89.977 2.80636e+000 179.955 3.50796e+000 -0.045
1.5199e+000 2.80636e+004 179.953 0.00000e+000 0.000 6.66674e-001 -0.015 0.00000e+000 0.000 2.53905e-001 -179.954 1.00000e+000 0.000 2.90568e+002 -0.047 0.00000e+000 0.000 1.07202e-008 -90.047 1.45517e-014 -89.976 2.80636e+000 179.953 3.50796e+000 -0.047
1.5557e+000 2.80636e+004 179.952 0.00000e+000 0.000 6.66674e-001 -0.016 0.00000e+000 0.000 2.53905e-001 -179.953 1.00000e+000 0.000 2.90568e+002 -0.048 0.00000e+000 0.000 1.09724e-008 -90.048 1.48942e-014 -89.976 2.80636e+000 179.952 3.50796e+000 -0.048
1.5923e+000 2.80636e+004 179.951 0.00000e+000 0.000 6.66674e-001 -0.016 0.00000e+000 0.000 2.53905e-001 -179.952 1.00000e+000 0.000 2.90568e+002 -0.049 0.00000e+000 0.000 1.12306e-008 -90.049 1.52446e-014 -89.975 2.80636e+000 179.951 3.50796e+000 -0.049
1.6298e+000 2.80636e+004 179.950 0.00000e+000 0.000 6.66674e-001 -0.017 0.00000e+000 0.000 2.53905e-001 -179.951 1.00000e+000 0.000 2.90568e+002 -0.050 0.00000e+000 0.000 1.14949e-008 -90.050 1.56034e-014 -89.974 2.80636e+000 179.950 3.50796e+000 -0.050
