f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jL0100m jL0100f jV0400m jV0400f jV0600m jV0600f jV0700m jV0700f jV0800m jV0800f
1.0000e+002 6.68767e-006 111.488 1.06437e+001 -68.512 4.80934e-002 -9.028 0.00000e+000 0.000 4.76862e-002 -169.759 1.00000e-001 0.000 0.00000e+000 0.000 0.00000e+000 0.000 6.68766e-006 21.488 1.20872e-014 80.972 1.39093e-013 -83.116 2.72329e-012 23.168 6.69803e-006 -158.564
1.2915e+002 8.87935e-006 106.951 8.47185e+000 -73.049 4.68179e-002 -7.579 0.00000e+000 0.000 4.86467e-002 -171.802 1.00000e-001 0.000 0.00000e+000 0.000 0.00000e+000 0.000 6.87495e-006 16.951 1.51972e-014 82.421 1.82311e-013 -84.454 2.80036e-012 19.121 6.88560e-006 -163.089
1.6681e+002 1.16685e-005 103.278 6.67404e+000 -76.721 4.59621e-002 -6.182 0.00000e+000 0.000 4.92666e-002 -173.520 1.00000e-001 0.000 0.00000e+000 0.000 0.00000e+000 0.000 6.99506e-006 13.278 1.92691e-014 83.818 2.37693e-013 -85.599 2.85064e-012 16.080 7.00590e-006 -166.753
2.1544e+002 1.52322e-005 100.354 5.22294e+000 -79.645 4.54112e-002 -4.946 0.00000e+000 0.000 4.96555e-002 -174.918 1.00000e-001 0.000 0.00000e+000 0.000 0.00000e+000 0.000 7.07016e-006 10.354 2.45887e-014 85.054 3.08805e-013 -86.541 2.88354e-012 13.971 7.08111e-006 -169.669
2.7826e+002 1.98017e-005 98.051 4.07034e+000 -81.947 4.50660e-002 -3.907 0.00000e+000 0.000 4.98954e-002 -176.035 1.00000e-001 0.000 0.00000e+000 0.000 0.00000e+000 0.000 7.11635e-006 8.051 3.15161e-014 86.093 4.00282e-013 -87.297 2.90623e-012 12.718 7.12738e-006 -171.966
3.5938e+002 2.56760e-005 96.249 3.16397e+000 -83.749 4.48534e-002 -3.063 0.00000e+000 0.000 5.00416e-002 -176.916 1.00000e-001 0.000 0.00000e+000 0.000 0.00000e+000 0.000 7.14449e-006 6.249 4.05126e-014 86.937 5.18124e-013 -87.895 2.92415e-012 12.268 7.15555e-006 -173.763
4.6416e+002 3.32408e-005 94.845 2.45557e+000 -85.152 4.47238e-002 -2.389 0.00000e+000 0.000 5.01302e-002 -177.605 1.00000e-001 0.000 0.00000e+000 0.000 0.00000e+000 0.000 7.16151e-006 4.845 5.21729e-014 87.611 6.70074e-013 -88.365 2.94184e-012 12.600 7.17261e-006 -175.163
5.9948e+002 4.29937e-005 93.754 1.90397e+000 -86.243 4.46453e-002 -1.858 0.00000e+000 0.000 5.01836e-002 -178.143 1.00000e-001 0.000 0.00000e+000 0.000 0.00000e+000 0.000 7.17178e-006 3.754 6.72657e-014 88.142 8.66129e-013 -88.732 2.96388e-012 13.729 7.18289e-006 -176.252
7.7426e+002 5.55763e-005 92.906 1.47542e+000 -87.089 4.45980e-002 -1.443 0.00000e+000 0.000 5.02157e-002 -178.561 1.00000e-001 0.000 0.00000e+000 0.000 0.00000e+000 0.000 7.17795e-006 2.906 8.67849e-014 88.557 1.11919e-012 -89.017 2.99595e-012 15.704 7.18907e-006 -177.096
1.0000e+003 7.18167e-005 92.248 1.14292e+000 -87.746 4.45695e-002 -1.119 0.00000e+000 0.000 5.02351e-002 -178.885 1.00000e-001 0.000 0.00000e+000 0.000 0.00000e+000 0.000 7.18167e-006 2.248 1.12015e-013 88.881 1.44591e-012 -89.238 3.04614e-012 18.600 7.19278e-006 -177.751
