f 1m 1f 2m 2f 3m 3f jL0203m jL0203f
1.0000e-002 1.00000e+000 45.000 6.36698e+001 -44.100 6.34185e+001 -44.097 1.00000e+000 -135.000
1.0235e-002 1.00000e+000 45.000 6.22064e+001 -44.079 6.19492e+001 -44.075 1.00000e+000 -135.000
1.0476e-002 1.00000e+000 45.000 6.07767e+001 -44.057 6.05134e+001 -44.053 1.00000e+000 -135.000
1.0723e-002 1.00000e+000 45.000 5.93798e+001 -44.035 5.91103e+001 -44.031 1.00000e+000 -135.000
1.0975e-002 1.00000e+000 45.000 5.80150e+001 -44.012 5.77393e+001 -44.008 1.00000e+000 -135.000
1.1233e-002 1.00000e+000 45.000 5.66817e+001 -43.989 5.63994e+001 -43.984 1.00000e+000 -135.000
1.1498e-002 1.00000e+000 45.000 5.53790e+001 -43.965 5.50901e+001 -43.960 1.00000e+000 -135.000
1.1768e-002 1.00000e+000 45.000 5.41062e+001 -43.941 5.38105e+001 -43.935 1.00000e+000 -135.000
1.2045e-002 1.00000e+000 45.000 5.28628e+001 -43.916 5.25601e+001 -43.910 1.00000e+000 -135.000
1.2328e-002 1.00000e+000 45.000 5.16479e+001 -43.891 5.13381e+001 -43.884 1.00000e+000 -135.000
1.2619e-002 1.00000e+000 45.000 5.04609e+001 -43.864 5.01439e+001 -43.857 1.00000e+000 -135.000
1.2915e-002 1.00000e+000 45.000 4.93013e+001 -43.838 4.89768e+001 -43.830 1.00000e+000 -135.000
1.3219e-002 1.00000e+000 45.000 4.81683e+001 -43.810 4.78362e+001 -43.802 1.00000e+000 -135.000
1.3530e-002 1.00000e+000 45.000 4.70614e+001 -43.782 4.67214e+001 -43.774 1.00000e+000 -135.000
1.3849e-002 1.00000e+000 45.000 4.59800e+001 -43.754 4.56320e+001 -43.744 1.00000e+000 -135.000
1.4175e-002 1.00000e+000 45.000 4.49234e+001 -43.724 4.45672e+001 -43.714 1.00000e+000 -135.000
1.4508e-002 1.00000e+000 45.000 4.38911e+001 -43.694 4.35266e+001 -43.684 1.00000e+000 -135.000
1.4850e-002 1.00000e+000 45.000 4.28826e+001 -43.664 4.25095e+001 -43.652 1.00000e+000 -135.000
1.5199e-002 1.00000e+000 45.000 4.18973e+001 -43.632 4.15154e+001 -43.620 1.00000e+000 -135.000
1.5557e-002 1.00000e+000 45.000 4.09346e+001 -43.600 4.05437e+001 -43.587 1.00000e+000 -135.000
1.5923e-002 1.00000e+000 45.000 3.99941e+001 -43.567 3.95940e+001 -43.553 1.00000e+000 -135.000
1.6298e-002 1.00000e+000 45.000 3.90752e+001 -43.534 3.86657e+001 -43.518 1.00000e+000 -135.000
1.6681e-002 1.00000e+000 45.000 3.81775e+001 -43.499 3.77584e+001 -43.482 1.00000e+000 -135.000
1.7074e-002 1.00000e+000 45.000 3.73004e+001 -43.464 3.68714e+001 -43.446 1.00000e+000 -135.000
1.7475e-002 1.00000e+000 45.000 3.64434e+001 -43.428 3.60044e+001 -43.408 1.00000e+000 -135.000
1.7886e-002 1.00000e+000 45.000 3.56062e+001 -43.391 3.51569e+001 -43.370 1.00000e+000 -135.000
1.8307e-002 1.00000e+000 45.000 3.47883e+001 -43.353 3.43284e+001 -43.331 1.00000e+000 -135.000
1.8738e-002 1.00000e+000 45.000 3.39892e+001 -43.314 3.35185e+001 -43.290 1.00000e+000 -135.000
1.9179e-002 1.00000e+000 45.000 3.32085e+001 -43.274 3.27267e+001 -43.249 1.00000e+000 -135.000
1.9630e-002 1.00000e+000 45.000 3.24457e+001 -43.234 3.19526e+001 -43.207 1.00000e+000 -135.000
2.0092e-002 1.00000e+000 45.000 3.17005e+001 -43.192 3.11958e+001 -43.163 1.00000e+000 -135.000
2.0565e-002 1.00000e+000 45.000 3.09724e+001 -43.150 3.04558e+001 -43.118 1.00000e+000 -135.000
2.1049e-002 1.00000e+000 45.000 3.02611e+001 -43.106 2.97324e+001 -43.073 1.00000e+000 -135.000
2.1544e-002 1.00000e+000 45.000 2.95662e+001 -43.062 2.90250e+001 -43.026 1.00000e+000 -135.000
2.2051e-002 1.00000e+000 45.000 2.88872e+001 -43.016 2.83334e+001 -42.977 1.00000e+000 -135.000
2.2570e-002 1.00000e+000 45.000 2.82239e+001 -42.970 2.76570e+001 -42.928 1.00000e+000 -135.000
2.3101e-002 1.00000e+000 45.000 2.75759e+001 -42.922 2.69957e+001 -42.877 1.00000e+000 -135.000
2.3645e-002 1.00000e+000 45.000 2.69428e+001 -42.873 2.63489e+001 -42.825 1.00000e+000 -135.000
