f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jL0500m jL0500f jO0600m jO0600f jO0400m jO0400f
1.0000e+002 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000
1.2915e+002 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000
1.6681e+002 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000
2.1544e+002 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000
2.7826e+002 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000
3.5938e+002 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000
4.6416e+002 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000
5.9948e+002 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000
7.7426e+002 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000
1.0000e+003 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000
