f 1m 1f 2m 2f jV0200m jV0200f jV0100m jV0100f
1.0000e+003 0.00000e+000 0.000 1.00000e+000 0.000 5.44543e-011 -90.000 1.54000e-003 0.000
1.2915e+003 0.00000e+000 0.000 1.00000e+000 0.000 7.03304e-011 -90.000 1.54000e-003 0.000
1.6681e+003 0.00000e+000 0.000 1.00000e+000 0.000 9.08352e-011 -90.000 1.54000e-003 0.000
2.1544e+003 0.00000e+000 0.000 1.00000e+000 0.000 1.17318e-010 -90.000 1.54000e-003 0.000
2.7826e+003 0.00000e+000 0.000 1.00000e+000 0.000 1.51522e-010 -90.000 1.54000e-003 0.000
3.5938e+003 0.00000e+000 0.000 1.00000e+000 0.000 1.95699e-010 -90.000 1.54000e-003 0.000
4.6416e+003 0.00000e+000 0.000 1.00000e+000 0.000 2.52754e-010 -90.000 1.54000e-003 0.000
5.9948e+003 0.00000e+000 0.000 1.00000e+000 0.000 3.26445e-010 -90.000 1.54000e-003 0.000
7.7426e+003 0.00000e+000 0.000 1.00000e+000 0.000 4.21620e-010 -90.000 1.54000e-003 0.000
1.0000e+004 0.00000e+000 0.000 1.00000e+000 0.000 5.44543e-010 -90.000 1.54000e-003 0.000
1.2915e+004 0.00000e+000 0.000 1.00000e+000 0.000 7.03304e-010 -90.000 1.54000e-003 0.000
1.6681e+004 0.00000e+000 0.000 1.00000e+000 0.000 9.08352e-010 -90.000 1.54000e-003 0.000
2.1544e+004 0.00000e+000 0.000 1.00000e+000 0.000 1.17318e-009 -90.000 1.54000e-003 0.000
2.7826e+004 0.00000e+000 0.000 1.00000e+000 0.000 1.51522e-009 -90.000 1.54000e-003 0.000
3.5938e+004 0.00000e+000 0.000 1.00000e+000 0.000 1.95699e-009 -90.000 1.54000e-003 0.000
4.6416e+004 0.00000e+000 0.000 1.00000e+000 0.000 2.52754e-009 -90.000 1.54000e-003 0.000
5.9948e+004 0.00000e+000 0.000 1.00000e+000 0.000 3.26445e-009 -90.000 1.54000e-003 0.000
7.7426e+004 0.00000e+000 0.000 1.00000e+000 0.000 4.21620e-009 -90.000 1.54000e-003 0.000
1.0000e+005 0.00000e+000 0.000 1.00000e+000 0.000 5.44543e-009 -90.000 1.54000e-003 0.000
1.2915e+005 0.00000e+000 0.000 1.00000e+000 0.000 7.03304e-009 -90.000 1.54000e-003 0.000
1.6681e+005 0.00000e+000 0.000 1.00000e+000 0.000 9.08352e-009 -90.000 1.54000e-003 0.000
2.1544e+005 0.00000e+000 0.000 1.00000e+000 0.000 1.17318e-008 -90.000 1.54000e-003 0.000
2.7826e+005 0.00000e+000 0.000 1.00000e+000 0.000 1.51522e-008 -90.000 1.54000e-003 0.000
3.5938e+005 0.00000e+000 0.000 1.00000e+000 0.000 1.95699e-008 -90.000 1.54000e-003 0.001
4.6416e+005 0.00000e+000 0.000 1.00000e+000 0.000 2.52754e-008 -90.000 1.54000e-003 0.001
5.9948e+005 0.00000e+000 0.000 1.00000e+000 0.000 3.26445e-008 -90.000 1.54000e-003 0.001
7.7426e+005 0.00000e+000 0.000 1.00000e+000 0.000 4.21620e-008 -90.000 1.54000e-003 0.001
1.0000e+006 0.00000e+000 0.000 1.00000e+000 0.000 5.44543e-008 -90.000 1.54000e-003 0.002
1.2915e+006 0.00000e+000 0.000 1.00000e+000 0.000 7.03304e-008 -90.000 1.54000e-003 0.002
1.6681e+006 0.00000e+000 0.000 1.00000e+000 0.000 9.08352e-008 -90.000 1.54000e-003 0.003
2.1544e+006 0.00000e+000 0.000 1.00000e+000 0.000 1.17318e-007 -90.000 1.54000e-003 0.004
2.7826e+006 0.00000e+000 0.000 1.00000e+000 0.000 1.51522e-007 -90.000 1.54000e-003 0.005
3.5938e+006 0.00000e+000 0.000 1.00000e+000 0.000 1.95699e-007 -90.000 1.54000e-003 0.006
4.6416e+006 0.00000e+000 0.000 1.00000e+000 0.000 2.52754e-007 -90.000 1.54000e-003 0.008
5.9948e+006 0.00000e+000 0.000 1.00000e+000 0.000 3.26445e-007 -90.000 1.54000e-003 0.011
7.7426e+006 0.00000e+000 0.000 1.00000e+000 0.000 4.21620e-007 -90.000 1.54000e-003 0.014
1.0000e+007 0.00000e+000 0.000 1.00000e+000 0.000 5.44543e-007 -90.000 1.54000e-003 0.018
1.2915e+007 0.00000e+000 0.000 1.00000e+000 0.000 7.03304e-007 -90.000 1.54000e-003 0.023
1.6681e+007 0.00000e+000 0.000 1.00000e+000 0.000 9.08352e-007 -90.000 1.54000e-003 0.030
2.1544e+007 0.00000e+000 0.000 1.00000e+000 0.000 1.17318e-006 -90.000 1.54000e-003 0.039
2.7826e+007 0.00000e+000 0.000 1.00000e+000 0.000 1.51522e-006 -90.000 1.54000e-003 0.050
3.5938e+007 0.00000e+000 0.000 1.00000e+000 0.000 1.95699e-006 -90.000 1.54000e-003 0.064
4.6416e+007 0.00000e+000 0.000 1.00000e+000 0.000 2.52754e-006 -90.000 1.54000e-003 0.083
5.9948e+007 0.00000e+000 0.000 1.00000e+000 0.000 3.26445e-006 -90.000 1.54000e-003 0.107
7.7426e+007 0.00000e+000 0.000 1.00000e+000 0.000 4.21620e-006 -90.000 1.54000e-003 0.139
1.0000e+008 0.00000e+000 0.000 1.00000e+000 0.000 5.44543e-006 -90.000 1.54001e-003 0.179
1.2915e+008 0.00000e+000 0.000 1.00000e+000 0.000 7.03304e-006 -90.000 1.54001e-003 0.231
1.6681e+008 0.00000e+000 0.000 1.00000e+000 0.000 9.08352e-006 -90.000 1.54002e-003 0.299
2.1544e+008 0.00000e+000 0.000 1.00000e+000 0.000 1.17318e-005 -90.000 1.54003e-003 0.386
2.7826e+008 0.00000e+000 0.000 1.00000e+000 0.000 1.51522e-005 -90.000 1.54006e-003 0.499
3.5938e+008 0.00000e+000 0.000 1.00000e+000 0.000 1.95699e-005 -90.000 1.54010e-003 0.644
4.6416e+008 0.00000e+000 0.000 1.00000e+000 0.000 2.52754e-005 -90.000 1.54016e-003 0.832
5.9948e+008 0.00000e+000 0.000 1.00000e+000 0.000 3.26445e-005 -90.000 1.54027e-003 1.074
7.7426e+008 0.00000e+000 0.000 1.00000e+000 0.000 4.21620e-005 -90.000 1.54045e-003 1.387
1.0000e+009 0.00000e+000 0.000 1.00000e+000 0.000 5.44543e-005 -90.000 1.54075e-003 1.792
