f 1m 1f 2m 2f
1.0000e+002 5.00001e+000 179.909 7.95775e-003 90.000
1.0235e+002 5.00001e+000 179.911 7.77480e-003 90.000
1.0476e+002 5.00001e+000 179.913 7.59606e-003 90.000
1.0723e+002 5.00001e+000 179.915 7.42142e-003 90.000
1.0975e+002 5.00001e+000 179.917 7.25080e-003 90.000
1.1233e+002 5.00001e+000 179.919 7.08411e-003 90.000
1.1498e+002 5.00000e+000 179.921 6.92124e-003 90.000
1.1768e+002 5.00000e+000 179.923 6.76212e-003 90.000
1.2045e+002 5.00000e+000 179.924 6.60666e-003 90.000
1.2328e+002 5.00000e+000 179.926 6.45477e-003 90.000
1.2619e+002 5.00000e+000 179.928 6.30638e-003 90.000
1.2915e+002 5.00000e+000 179.929 6.16139e-003 90.000
1.3219e+002 5.00000e+000 179.931 6.01974e-003 90.000
1.3530e+002 5.00000e+000 179.933 5.88135e-003 90.000
1.3849e+002 5.00000e+000 179.934 5.74614e-003 90.000
1.4175e+002 5.00000e+000 179.936 5.61403e-003 90.000
1.4508e+002 5.00000e+000 179.937 5.48497e-003 90.000
1.4850e+002 5.00000e+000 179.939 5.35887e-003 90.000
1.5199e+002 5.00000e+000 179.940 5.23567e-003 90.000
1.5557e+002 5.00000e+000 179.941 5.11530e-003 90.000
1.5923e+002 5.00000e+000 179.943 4.99770e-003 90.000
1.6298e+002 5.00000e+000 179.944 4.88280e-003 90.000
1.6681e+002 5.00000e+000 179.945 4.77054e-003 90.000
1.7074e+002 5.00000e+000 179.947 4.66087e-003 90.000
1.7475e+002 5.00000e+000 179.948 4.55372e-003 90.000
1.7886e+002 5.00000e+000 179.949 4.44903e-003 90.000
1.8307e+002 5.00000e+000 179.950 4.34674e-003 90.000
1.8738e+002 5.00000e+000 179.951 4.24681e-003 90.000
1.9179e+002 5.00000e+000 179.952 4.14918e-003 90.000
1.9630e+002 5.00000e+000 179.954 4.05379e-003 90.000
2.0092e+002 5.00000e+000 179.955 3.96059e-003 90.000
2.0565e+002 5.00000e+000 179.956 3.86954e-003 90.000
2.1049e+002 5.00000e+000 179.957 3.78057e-003 90.000
2.1544e+002 5.00000e+000 179.958 3.69366e-003 90.000
2.2051e+002 5.00000e+000 179.959 3.60874e-003 90.000
2.2570e+002 5.00000e+000 179.960 3.52578e-003 90.000
2.3101e+002 5.00000e+000 179.961 3.44472e-003 90.000
2.3645e+002 5.00000e+000 179.961 3.36552e-003 90.000
