f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f
1.0000e+002 1.00000e+000 0.000 2.55863e-007 180.000 1.00000e+000 0.000 1.60763e-003 -90.000 1.60763e-004 90.000 1.60763e-003 90.000
1.2000e+003 1.00000e+000 0.000 1.77682e-009 180.000 1.00000e+000 0.000 1.33969e-004 -90.000 1.33969e-005 90.000 1.33969e-004 90.000
2.3000e+003 1.00000e+000 0.000 4.83670e-010 180.000 1.00000e+000 0.000 6.98968e-005 -90.000 6.98968e-006 90.000 6.98968e-005 90.000
3.4000e+003 1.00000e+000 0.000 2.21334e-010 180.000 1.00000e+000 0.000 4.72831e-005 -90.000 4.72831e-006 90.000 4.72831e-005 90.000
4.5000e+003 1.00000e+000 0.000 1.26351e-010 180.000 1.00000e+000 0.000 3.57250e-005 -90.000 3.57250e-006 90.000 3.57250e-005 90.000
5.6000e+003 1.00000e+000 0.000 8.15885e-011 180.000 1.00000e+000 0.000 2.87076e-005 -90.000 2.87076e-006 90.000 2.87076e-005 90.000
6.7000e+003 1.00000e+000 0.000 5.69975e-011 180.000 1.00000e+000 0.000 2.39944e-005 -90.000 2.39944e-006 90.000 2.39944e-005 90.000
7.8000e+003 1.00000e+000 0.000 4.20548e-011 180.000 1.00000e+000 0.000 2.06106e-005 -90.000 2.06106e-006 90.000 2.06106e-005 90.000
8.9000e+003 1.00000e+000 0.000 3.23017e-011 180.000 1.00000e+000 0.000 1.80632e-005 -90.000 1.80632e-006 90.000 1.80632e-005 90.000
1.0000e+004 1.00000e+000 0.000 2.55862e-011 180.000 1.00000e+000 0.000 1.60763e-005 -90.000 1.60763e-006 90.000 1.60763e-005 90.000
