f 1m 1f 2m 2f 3m 3f 4m 4f jV0001m jV0001f jV0002m jV0002f jV0003m jV0003f jV0004m jV0004f
1.0000e+003 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 5.44543e-011 -90.000 2.20000e-004 180.000 7.53982e-011 -90.000 1.00500e-004 180.000
1.2915e+003 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 7.03304e-011 -90.000 2.20000e-004 180.000 9.73806e-011 -90.000 1.00500e-004 180.000
1.6681e+003 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 9.08352e-011 -90.000 2.20000e-004 180.000 1.25772e-010 -90.000 1.00500e-004 180.000
2.1544e+003 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.17318e-010 -90.000 2.20000e-004 180.000 1.62441e-010 -90.000 1.00500e-004 180.000
2.7826e+003 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.51522e-010 -90.000 2.20000e-004 180.000 2.09800e-010 -90.000 1.00500e-004 180.000
3.5938e+003 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.95699e-010 -90.000 2.20000e-004 180.000 2.70967e-010 -90.000 1.00500e-004 180.000
4.6416e+003 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 2.52754e-010 -90.000 2.20000e-004 180.000 3.49968e-010 -90.000 1.00500e-004 180.000
5.9948e+003 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 3.26445e-010 -90.000 2.20000e-004 180.000 4.52000e-010 -90.000 1.00500e-004 180.000
7.7426e+003 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 4.21620e-010 -90.000 2.20000e-004 180.000 5.83781e-010 -90.000 1.00500e-004 180.000
1.0000e+004 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 5.44543e-010 -90.000 2.20000e-004 180.000 7.53982e-010 -90.000 1.00500e-004 180.000
