f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f 19m 19f 20m 20f 21m 21f 22m 22f 23m 23f 24m 24f jV0013m jV0013f jV0014m jV0014f jV0015m jV0015f jV0016m jV0016f jV0017m jV0017f jV0018m jV0018f jV0020m jV0020f jV0019m jV0019f jV0022m jV0022f jV0021m jV0021f jV0024m jV0024f jV0023m jV0023f jV0100m jV0100f jV0200m jV0200f jV0300m jV0300f jV0400m jV0400f jV0500m jV0500f jV0600m jV0600f jV0800m jV0800f jV0700m jV0700f jV1000m jV1000f jV0900m jV0900f jV1200m jV1200f jV1100m jV1100f
1.0000e+003 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 5.44543e-011 -90.000 2.20000e-004 180.000 7.53982e-011 -90.000 1.00500e-004 180.000 7.53982e-011 -90.000 6.28319e-012 90.000 5.44543e-011 -90.000 2.20000e-004 180.000 7.53982e-011 -90.000 1.00500e-004 180.000 7.53982e-011 -90.000 6.28319e-012 90.000 2.17817e-011 -90.000 2.20000e-004 180.000 3.01593e-011 -90.000 1.00500e-004 180.000 3.01593e-011 -90.000 2.51327e-012 90.000 2.17817e-011 -90.000 2.20000e-004 180.000 3.01593e-011 -90.000 1.00500e-004 180.000 3.01593e-011 -90.000 2.51327e-012 90.000
1.2915e+003 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 7.03304e-011 -90.000 2.20000e-004 180.000 9.73806e-011 -90.000 1.00500e-004 180.000 9.73806e-011 -90.000 8.11505e-012 90.000 7.03304e-011 -90.000 2.20000e-004 180.000 9.73806e-011 -90.000 1.00500e-004 180.000 9.73806e-011 -90.000 8.11505e-012 90.000 2.81322e-011 -90.000 2.20000e-004 180.000 3.89522e-011 -90.000 1.00500e-004 180.000 3.89522e-011 -90.000 3.24602e-012 90.000 2.81322e-011 -90.000 2.20000e-004 180.000 3.89522e-011 -90.000 1.00500e-004 180.000 3.89522e-011 -90.000 3.24602e-012 90.000
1.6681e+003 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 9.08352e-011 -90.000 2.20000e-004 180.000 1.25772e-010 -90.000 1.00500e-004 180.000 1.25772e-010 -90.000 1.04810e-011 90.000 9.08352e-011 -90.000 2.20000e-004 180.000 1.25772e-010 -90.000 1.00500e-004 180.000 1.25772e-010 -90.000 1.04810e-011 90.000 3.63341e-011 -90.000 2.20000e-004 180.000 5.03087e-011 -90.000 1.00500e-004 180.000 5.03087e-011 -90.000 4.19239e-012 90.000 3.63341e-011 -90.000 2.20000e-004 180.000 5.03087e-011 -90.000 1.00500e-004 180.000 5.03087e-011 -90.000 4.19239e-012 90.000
2.1544e+003 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 1.17318e-010 -90.000 2.20000e-004 180.000 1.62441e-010 -90.000 1.00500e-004 180.000 1.62441e-010 -90.000 1.35367e-011 90.000 1.17318e-010 -90.000 2.20000e-004 180.000 1.62441e-010 -90.000 1.00500e-004 180.000 1.62441e-010 -90.000 1.35367e-011 90.000 4.69273e-011 -90.000 2.20000e-004 180.000 6.49762e-011 -90.000 1.00500e-004 180.000 6.49762e-011 -90.000 5.41468e-012 90.000 4.69273e-011 -90.000 2.20000e-004 180.000 6.49762e-011 -90.000 1.00500e-004 180.000 6.49762e-011 -90.000 5.41468e-012 90.000
2.7826e+003 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 1.51522e-010 -90.000 2.20000e-004 180.000 2.09800e-010 -90.000 1.00500e-004 180.000 2.09800e-010 -90.000 1.74833e-011 90.000 1.51522e-010 -90.000 2.20000e-004 180.000 2.09800e-010 -90.000 1.00500e-004 180.000 2.09800e-010 -90.000 1.74833e-011 90.000 6.06089e-011 -90.000 2.20000e-004 180.000 8.39200e-011 -90.000 1.00500e-004 180.000 8.39200e-011 -90.000 6.99333e-012 90.000 6.06089e-011 -90.000 2.20000e-004 180.000 8.39200e-011 -90.000 1.00500e-004 180.000 8.39200e-011 -90.000 6.99333e-012 90.000
3.5938e+003 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 1.95699e-010 -90.000 2.20000e-004 180.000 2.70967e-010 -90.000 1.00500e-004 180.000 2.70967e-010 -90.000 2.25806e-011 90.000 1.95699e-010 -90.000 2.20000e-004 180.000 2.70967e-010 -90.000 1.00500e-004 180.000 2.70967e-010 -90.000 2.25806e-011 90.000 7.82794e-011 -90.000 2.20000e-004 180.000 1.08387e-010 -90.000 1.00500e-004 180.000 1.08387e-010 -90.000 9.03224e-012 90.000 7.82794e-011 -90.000 2.20000e-004 180.000 1.08387e-010 -90.000 1.00500e-004 180.000 1.08387e-010 -90.000 9.03224e-012 90.000
4.6416e+003 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 2.52754e-010 -90.000 2.20000e-004 180.000 3.49968e-010 -90.000 1.00500e-004 180.000 3.49968e-010 -90.000 2.91640e-011 90.000 2.52754e-010 -90.000 2.20000e-004 180.000 3.49968e-010 -90.000 1.00500e-004 180.000 3.49968e-010 -90.000 2.91640e-011 90.000 1.01102e-010 -90.000 2.20000e-004 180.000 1.39987e-010 -90.000 1.00500e-004 180.000 1.39987e-010 -90.000 1.16656e-011 90.000 1.01102e-010 -90.000 2.20000e-004 180.000 1.39987e-010 -90.000 1.00500e-004 180.000 1.39987e-010 -90.000 1.16656e-011 90.000
5.9948e+003 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 3.26445e-010 -90.000 2.20000e-004 180.000 4.52000e-010 -90.000 1.00500e-004 180.000 4.52000e-010 -90.000 3.76667e-011 90.000 3.26445e-010 -90.000 2.20000e-004 180.000 4.52000e-010 -90.000 1.00500e-004 180.000 4.52000e-010 -90.000 3.76667e-011 90.000 1.30578e-010 -90.000 2.20000e-004 180.000 1.80800e-010 -90.000 1.00500e-004 180.000 1.80800e-010 -90.000 1.50667e-011 90.000 1.30578e-010 -90.000 2.20000e-004 180.000 1.80800e-010 -90.000 1.00500e-004 180.000 1.80800e-010 -90.000 1.50667e-011 90.000
7.7426e+003 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 4.21620e-010 -90.000 2.20000e-004 180.000 5.83781e-010 -90.000 1.00500e-004 180.000 5.83781e-010 -90.000 4.86484e-011 90.000 4.21620e-010 -90.000 2.20000e-004 180.000 5.83781e-010 -90.000 1.00500e-004 180.000 5.83781e-010 -90.000 4.86484e-011 90.000 1.68648e-010 -90.000 2.20000e-004 180.000 2.33512e-010 -90.000 1.00500e-004 180.000 2.33512e-010 -90.000 1.94594e-011 90.000 1.68648e-010 -90.000 2.20000e-004 180.000 2.33512e-010 -90.000 1.00500e-004 180.000 2.33512e-010 -90.000 1.94594e-011 90.000
1.0000e+004 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 5.44543e-010 -90.000 2.20000e-004 180.000 7.53982e-010 -90.000 1.00500e-004 180.000 7.53982e-010 -90.000 6.28319e-011 90.000 5.44543e-010 -90.000 2.20000e-004 180.000 7.53982e-010 -90.000 1.00500e-004 180.000 7.53982e-010 -90.000 6.28319e-011 90.000 2.17817e-010 -90.000 2.20000e-004 180.000 3.01593e-010 -90.000 1.00500e-004 180.000 3.01593e-010 -90.000 2.51327e-011 90.000 2.17817e-010 -90.000 2.20000e-004 180.000 3.01593e-010 -90.000 1.00500e-004 180.000 3.01593e-010 -90.000 2.51327e-011 90.000
